title,Amazon Rating,Goodreads Rating,Genre,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Anna Karenina,4.5,4.06,Fiction,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books
Americana,3.8,3.41,Fiction,Don DeLillo,3.43,140119485,9780140119480,eng,377,393,55,6/7/1989,Penguin Books
Been Down So Long It Looks Like Up To Me,4.2,3.79,Fiction,Richard Fariña/Thomas Pynchon,3.8,140189300,9780140189308,eng,352,2473,220,8/29/1996,Penguin Books
City of Glass (The New York Trilogy  #1),4.5,3.78,Fiction,Paul Auster,3.79,140097317,9780140097313,eng,203,12410,734,7/4/1987,Penguin Books
1776,4.6,4.06,Fiction,Peter  Stone/Sherman Edwards,4.22,140481397,9780140481396,eng,192,1299,30,11/18/1976,Penguin Books
Phaedrus and Letters VII and VIII,4.5,4.06,Fiction,Plato/Walter Hamilton,4.1,140442758,9780140442755,en-US,160,226,20,1/30/1973,Penguin Books
Gorgias,4.6,3.96,Fiction,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,140449043,9780140449044,en-GB,208,8186,198,1/29/2004,Penguin Books
The Histories,4.7,4.12,Fiction,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,140449086,9780140449082,eng,716,34727,597,1/30/2003,Penguin Books
The Histories,4.7,4.12,Fiction,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,140446389,9780140446388,eng,622,227,18,1/9/1954,Penguin Books
The Histories,4.7,4.12,Fiction,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,3.99,140440348,9780140440348,en-US,653,143,17,8/30/1970,Penguin Books
The Iliad,4.8,3.88,Fiction,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.86,140447946,9780140447941,eng,462,1919,118,1/30/2003,Penguin Books
The Odyssey,4.7,3.78,Fiction,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.76,140449116,9780140449112,eng,324,2543,167,1/30/2003,Penguin Books
The Bacchae and Other Plays,4.6,4.14,Fiction,Euripides/John Davie/Richard Rutherford,4.14,140447261,9780140447262,eng,360,164,8,1/26/2006,Penguin Books
Prometheus Bound and Other Plays,4.7,3.92,Fiction,Aeschylus/Philip Vellacott,4.1,140441123,9780140441123,eng,160,4303,62,8/30/1961,Penguin Books
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,4.7,3.97,Fiction,Sophocles/Robert Fagles/Bernard Knox,3.97,140444254,9780140444254,eng,430,2979,288,3/1/2000,Penguin Books
Electra and Other Plays,4.8,4.03,Fiction,Sophocles/E.F. Watling,4.14,140440283,9780140440287,eng,218,135,9,4/30/1953,Penguin Books
Lysistrata and Other Plays,4.5,3.96,Fiction,Aristophanes/Alan H. Sommerstein,3.95,140448144,9780140448146,en-US,241,3833,120,1/30/2003,Penguin Books
The Knights / Peace / The Birds / The Assembly Women / Wealth,4.5,3.69,Fiction,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,3.69,140443320,9780140443325,en-US,335,42,1,7/27/1978,Penguin Books
The History of Sexuality  Volume 2: The Use of Pleasure,4.5,4.07,Non Fiction,Michel Foucault/Robert Hurley,4.08,140137343,9780140137347,eng,304,51,2,7/30/1998,Penguin Books
